Time,Sum of Spill Rate (m3/s)
2003/5/9 13:00,1.465
2003/5/14 12:00,0.258
2003/5/16 1:00,0.716
2003/5/19 22:00,0.898
2003/5/22 1:00,1.275
2003/5/28 2:00,0.391
2003/5/28 22:00,0.426
2003/5/30 0:00,1.365
2003/6/5 0:00,0.323
2003/6/7 14:00,3.183
2003/6/11 12:00,0.391
2003/6/17 0:00,0.23
2003/6/18 21:00,0.161
2003/6/26 3:00,3.426
2003/6/27 3:00,1.031
2003/6/30 19:00,1.032
2003/7/6 0:00,0.259
2003/7/7 16:00,0.097
2003/7/9 0:00,1.111
2003/7/10 17:00,0.447
2003/7/18 16:00,0.476
2003/7/20 2:00,2.168
2003/7/23 11:00,0.923
2003/7/28 0:00,1.308
2003/7/31 19:00,0.453
2003/8/5 0:00,0.017
2003/8/9 4:00,1.351
2003/8/12 2:00,0.384
2003/8/17 0:00,0.643
2003/8/19 18:00,1.159
2003/8/27 7:00,0.244
2003/9/5 0:00,0.054
2003/9/6 20:00,3.751
2003/9/9 22:00,0.348
2003/9/11 9:00,0.456
2003/9/14 2:00,0.103
2003/9/15 0:00,0.17
2003/9/17 17:00,1.104
2003/9/19 10:00,0.183
2003/9/21 0:00,6.473
2003/9/25 0:00,1.902
2003/9/27 1:00,0.139
2003/9/28 17:00,0.415
2004/5/3 2:00,2.97
2004/5/5 0:00,0.75
2004/5/6 0:00,0.004
2004/5/7 3:00,0.375
2004/5/8 0:00,0.569
2004/5/10 0:00,0.722
2004/5/27 19:00,0.263
2004/5/31 11:00,0.315
2004/6/2 0:00,1.19
2004/6/9 9:00,1.393
2004/6/14 13:00,0.098
2004/6/16 17:00,3.137
2004/6/20 10:00,0.393
2004/6/22 7:00,1.855
2004/6/26 0:00,2.57
2004/6/28 18:00,0.207
2004/6/29 11:00,1.738
2004/7/2 1:00,0.209
2004/7/4 6:00,1.085
2004/7/5 14:00,0.174
2004/7/9 0:00,0.438
2004/7/10 21:00,0.099
2004/7/13 6:00,1.392
2004/7/15 3:00,0.063
2004/7/16 18:00,0.541
2004/7/19 13:00,1.804
2004/7/23 14:00,0.597
2004/7/29 0:00,0.147
2004/8/2 9:00,0.048
2004/8/5 4:00,0.565
2004/8/8 13:00,4.069
2004/8/15 0:00,0.385
2004/8/17 0:00,4.349
2004/8/22 11:00,0.187
2004/8/23 18:00,0.005
2004/8/24 14:00,0.27
2004/8/25 14:00,1.151
2004/8/28 0:00,0.567
2004/9/3 4:00,0.039
2004/9/5 3:00,0.115
2004/9/10 13:00,3.373
2004/9/13 13:00,1.056
2004/9/15 11:00,2.624
2004/9/24 12:00,0.443
2004/9/25 16:00,0.672
2004/9/28 21:00,2.568
2005/5/1 0:00,0.413
2005/5/5 0:00,0.001
2005/5/18 7:00,3.375
2005/5/20 6:00,0.306
2005/5/21 13:00,1.187
2005/5/25 1:00,6.256
2005/5/27 14:00,0.265
2005/5/28 13:00,0.638
2005/5/31 8:00,2.537
2005/6/3 7:00,0.272
2005/6/11 1:00,1.53
2005/6/13 19:00,7.056
2005/6/15 14:00,0.773
2005/6/16 12:00,1.098
2005/6/18 5:00,0.245
2005/6/20 3:00,1.002
2005/6/29 1:00,0.401
2005/6/30 0:00,0.642
2005/7/2 4:00,0.066
2005/7/3 21:00,1.213
2005/7/5 8:00,0.582
2005/7/14 17:00,0.634
2005/7/17 10:00,1.021
2005/7/28 7:00,0.484
2005/7/29 10:00,0.825
2005/8/2 1:00,0.865
